kind	identifier	title	year	titleYear
movie	ftp_0	2040 2019	2040	
movie	ftp_1	The Hunt for Gollum (2009)	2027	2009
movie	ftp_2	From the Ashes (Jaras Enzar) (2024)	2027	2024
movie	ftp_3	Hamlet (1996)	2026	1996
movie	ftp_4	Go (2007)	2007	2007
movie	ftp_5	Heaven (2022)	2026	2022
movie	ftp_6	Broken (2021)	2026	2021
movie	ftp_7	The Internship (2026)	2026	2026
movie	ftp_8	Teen Spirit (2018)	2026	2018
movie	ftp_9	Mary (2024)	2026	2024
movie	ftp_10	Dolly (2025)	2026	2025
movie	ftp_11	Good Luck, Have Fun, Don't Die (2025)	2026	2025
movie	ftp_12	Primate (2025)	2026	2025
movie	ftp_13	Redux Redux (2025)	2026	2025
movie	ftp_14	The Dutchman (2025)	2026	2025
movie	ftp_15	28 Years Later-The Bone Temple (2026)	2026	2026
movie	ftp_16	Cold Storage (2026)	2026	2026
movie	ftp_17	Crime 101 (2026)	2026	2026
movie	ftp_18	Greenland 2-Migration (2026)	2026	2026
movie	ftp_19	Mercy (2026)	2026	2026
movie	ftp_20	Peaky Blinders-The Immortal Man (2026)	2026	2026
movie	ftp_21	People We Meet on Vacation (2026)	2026	2026
movie	ftp_22	Scream 7 (2026)	2026	2026
movie	ftp_23	Send Help (2026)	2026	2026
movie	ftp_24	Shelter (2026)	2026	2026
movie	ftp_25	The Bluff (2026)	2026	2026
movie	ftp_26	The Rip (2026)	2026	2026
movie	ftp_27	The Strangers-Chapter 3 (2026)	2026	2026
movie	ftp_28	The Wrecking Crew (2026)	2026	2026
movie	ftp_29	War Machine (2026)	2026	2026
movie	ftp_30	Wuthering Heights (2026)	2026	2026
movie	ftp_31	Hum (2020)	2026	2020
movie	ftp_32	Karma (2018)	2018	2018
movie	ftp_33	Mard (1985)	2026	1985
movie	ftp_34	Good Luck (2008)	2026	2008
movie	ftp_35	Mithya (2008)	2026	2008
movie	ftp_36	Raftaar (2009)	2026	2009
movie	ftp_37	Ek Din	2026	
movie	ftp_38	Singh Vs Kaur (2013)	2026	2013
movie	ftp_39	Mardaani (2014)	2026	2014
movie	ftp_40	Saka (2016)	2026	2016
movie	ftp_41	Maatr (2017)	2026	2017
movie	ftp_42	Rabb Da Radio (2017)	2026	2017
movie	ftp_43	Bharat (2019)	2026	2019
movie	ftp_44	One Friday Night (2022)	2026	2022
movie	ftp_45	Lakadbaggha (2023)	2026	2023
movie	ftp_46	Dhurandhar (2025)	2026	2025
movie	ftp_47	Maalik (2025)	2026	2025
movie	ftp_48	Mayasabha (2026)	2026	2026
movie	ftp_49	Vadh 2 (2025)	2026	2025
movie	ftp_50	Assi (2026)	2026	2026
movie	ftp_51	Bhabiji Ghar Par Hain-Fun on the Run (2026)	2026	2026
movie	ftp_52	Border 2 (2026)	2026	2026
movie	ftp_53	Dhurandhar-The Revenge (2026)	2026	2026
movie	ftp_54	Do Deewane Seher Mein (2026)	2026	2026
movie	ftp_55	Everybody Loves Sohrab Handa (2026)	2026	2026
movie	ftp_56	Happy Patel-Khatarnak Jasoos (2026)	2026	2026
movie	ftp_57	Ikkis (2026)	2026	2026
movie	ftp_58	Mardaani 3 (2026)	2026	2026
movie	ftp_59	O' Romeo (2026)	2026	2026
movie	ftp_60	Rahu Ketu (2026)	2026	2026
movie	ftp_61	The Kerala Story 2-Goes Beyond (2026)	2026	2026
movie	ftp_62	Tu Yaa Main (2026)	2026	2026
movie	ftp_63	Alice (2022)	2022	2022
movie	ftp_64	Sniper (1993)	2026	1993
movie	ftp_65	Street Smart (1987)	2026	1987
movie	ftp_66	Supergirl (1984)	2026	1984
movie	ftp_67	The Paper (1994)	2026	1994
movie	ftp_68	Twisted (2026)	2026	2026
movie	ftp_69	Hop (2011)	2026	2011
movie	ftp_70	Boulevard (2014)	2026	2014
movie	ftp_71	The Cure (2020)	2026	2020
movie	ftp_72	Goat (2016)	2026	2016
movie	ftp_73	The Mermaid (2016)	2026	2016
movie	ftp_74	Revenge (2017)	2026	2017
movie	ftp_75	Waru (2017)	2026	2017
movie	ftp_76	Black Flowers (2018)	2026	2018
movie	ftp_77	Don't Go (2018)	2026	2018
movie	ftp_78	The World Is Full of Secrets (2018)	2026	2018
movie	ftp_79	Drama Drama (2019)	2026	2019
movie	ftp_80	Mayday (2021)	2021	2021
movie	ftp_81	Obsession (2019)	2026	2019
movie	ftp_82	Safe Spaces (2019)	2026	2019
movie	ftp_83	The Assistant (2022)	2026	2022
movie	ftp_84	The Giant (2019)	2026	2019
movie	ftp_85	Toxicity (2019)	2026	2019
movie	ftp_86	Paper Tiger (2020)	2026	2020
movie	ftp_87	Pressure (2020)	2026	2020
movie	ftp_88	The Florist (2020)	2026	2020
movie	ftp_89	American Dream (2021)	2026	2021
movie	ftp_90	Apex (2021)	2026	2021
movie	ftp_91	Assistant (2021)	2026	2021
movie	ftp_92	Hot Water (2021)	2026	2021
movie	ftp_93	Whitetail (2021)	2026	2021
movie	ftp_94	Head to Head (2023)	2026	2023
movie	ftp_95	The Blind (2023)	2026	2023
movie	ftp_96	Distant (2024)	2026	2024
movie	ftp_97	Love Me (2024)	2026	2024
movie	ftp_98	We Bury the Dead (2024)	2026	2024
movie	ftp_99	Broke (2025)	2026	2025
movie	ftp_100	Dead Man's Wire (2025)	2026	2025
movie	ftp_101	Good Boy (2025)	2026	2025
movie	ftp_102	Honey Bunch (2025)	2026	2025
movie	ftp_103	Night Patrol (2025)	2026	2025
movie	ftp_104	Nirvanna the Band the Show the Movie (2025)	2026	2025
movie	ftp_105	Obex (2025)	2026	2025
movie	ftp_106	Pose (2025)	2026	2025
movie	ftp_107	Sweetness (2025)	2026	2025
movie	ftp_108	The Confession (2025)	2026	2025
movie	ftp_109	The Singers (2025)	2026	2025
movie	ftp_110	Whistle (2025)	2026	2025
movie	ftp_111	Grizzly Night (2026)	2026	2026
movie	ftp_112	Hellfire (2026)	2026	2026
movie	ftp_113	How to Make a Killing (2026)	2026	2026
movie	ftp_114	I Can Only Imagine 2 (2026)	2026	2026
movie	ftp_115	In the Blink of an Eye (2026)	2026	2026
movie	ftp_116	Killer Whale (2026)	2026	2026
movie	ftp_117	Love Me, Love Me (2026)	2026	2026
movie	ftp_118	Mike & Nick & Nick & Alice (2026)	2026	2026
movie	ftp_119	Misdirection (2026)	2026	2026
